Great Wall,36,2009,11250.0,9300.0
Lincoln,36,2003,10000.0,8900.0
Pontiac,42,2001,10000.0,900.0
ЗАЗ,42,1997,1000.0,800.0
Cadillac,43,2006,10500.0,9100.0
Buick,47,2014,10199.0,9999.0
Lifan,47,2015,1050.0,9959.2
Jaguar,53,2009,10500.0,9900.0
Москвич,55,1979,1000.0,948.5
Chery,58,2011,11000.0,9150.0
Dacia,59,2009,11050.0,9960.0
Porsche,61,2008,10000.0,9600.0
Acura,66,2007,11400.0,9700.0
Mini,68,2011,10250.0,9500.0
Geely,71,2014,10500.0,9000.0
УАЗ,74,1999,1000.0,999.0
SsangYong,79,2007,10000.0,9999.0
Lancia,92,2000,1000.0,9500.0
Jeep,107,2005,10000.0,9900.0
Saab,108,2001,1000.0,924.78
Iveco,139,2003,10000.0,9800.0
LADA,146,2014,1000.0,9959.2
Infiniti,162,2008,10000.0,9800.0
Land Rover,184,2007,10000.0,9999.0
ГАЗ,200,1988,1000.0,999.0
Alfa Romeo,207,1999,1000.0,980.0
Lexus,213,2008,10100.0,9999.0
Daewoo,221,2001,100.0,999.0
Suzuki,234,2004,10000.0,9999.0
Rover,235,1998,1000.0,999.0
Subaru,291,2004,1000.0,9999.0
Dodge,297,2003,10150.0,9990.0
Seat,303,2001,1000.0,9999.0
Chrysler,410,2002,1000.0,9900.0
Chevrolet,436,2011,1000.0,9999.0
ВАЗ,481,1994,1.0,999.0
Volvo,721,2004,1000.0,9999.0
Honda,797,2004,100.0,9999.0
Fiat,824,2000,1.0,999.0
Mitsubishi,887,2002,1000.0,9999.0
Kia,912,2008,1000.0,9990.0
Skoda,1089,2013,1000.0,9999.0
Hyundai,1116,2007,1000.0,9999.0
Toyota,1246,2006,1000.0,9999.0
Mazda,1328,2002,1.0,9999.0
Nissan,1361,2004,1000.0,9999.0
Citroen,1562,2003,100.0,9999.0
Peugeot,1909,2003,1.0,9999.0
Mercedes-Benz,2237,2002,1.42,9999.0
Audi,2468,2000,1000.0,9999.0
Renault,2493,2003,10.0,9999.0
Ford,2566,2002,1000.0,9999.0
BMW,2610,2003,1000.0,9999.0
Opel,2759,2002,1000.0,9999.0
Volkswagen,4243,2002,1.0,9999.0
